date,hour,trip_count,avg_duration_min
2024-04-06,18,846,14.60959292750197
2024-04-06,19,916,14.268256677583697
2024-04-06,20,892,14.44498086696562
2024-04-06,21,879,13.766737182404247
2024-04-06,22,896,13.42122496279762
2024-04-06,23,721,13.982753166897828
2024-04-07,0,549,12.942446205221614
2024-04-07,1,473,13.177353946441155
2024-04-07,2,395,12.771111139240508
2024-04-07,3,410,12.857467235772356
2024-04-07,4,338,13.11652761341223
2024-04-07,5,278,12.642468045563549
2024-04-07,6,225,14.390279259259259
2024-04-07,7,170,13.200054901960785
2024-04-07,8,78,11.469140384615384
2024-04-07,9,51,12.275588235294117
2024-04-07,10,66,9.404904292929293
2024-04-07,11,95,10.29645105263158
2024-04-07,12,232,11.73221889367816
2024-04-07,13,435,15.036678888888888
2024-04-07,14,808,14.940167347359735
2024-04-07,15,1067,16.31228031865042
2024-04-07,16,1261,18.582371305841924
2024-04-07,17,1514,18.942165279612507
2024-04-07,18,1988,20.25381483065057
2024-04-07,19,2095,20.906431066030233
2024-04-07,20,2134,18.977630802874103
2024-04-07,21,1807,18.009431248847076
2024-04-07,22,1567,16.994878983195065
2024-04-07,23,1092,15.601542612942614
2024-04-08,0,715,14.565514568764568
2024-04-08,1,563,14.437409177027828
2024-04-08,2,402,14.075842578772804
2024-04-08,3,309,11.47565167206041
2024-04-08,4,188,12.49664920212766
2024-04-08,5,104,12.774778685897436
2024-04-08,6,56,13.431297023809522
2024-04-08,7,36,15.158097685185185
2024-04-08,8,24,12.066778472222223
2024-04-08,9,85,12.896269215686274
2024-04-08,10,223,12.451733109118088
2024-04-08,11,719,13.542997311080203
2024-04-08,12,1308,12.957971878185525
2024-04-08,13,881,12.453502402572834
2024-04-08,14,839,14.569641716328961
2024-04-08,15,1205,15.903594121715075
2024-04-08,16,1888,16.63036133474576
2024-04-08,17,2502,19.339262456701306
2024-04-08,18,2409,22.43950596374706
2024-04-08,19,1723,22.047337415360804
2024-04-08,20,2474,20.062100815144166
2024-04-08,21,2557,16.69594010559249
2024-04-08,22,2116,15.687763264020164
2024-04-08,23,1460,14.1331948173516
2024-04-09,0,1052,13.70023141634981
2024-04-09,1,856,13.445422410436137
2024-04-09,2,574,13.218109291521486
2024-04-09,3,363,11.864257300275481
2024-04-09,4,177,13.44352966101695
2024-04-09,5,84,14.51239523809524
2024-04-09,6,57,14.155253216374268
2024-04-09,7,38,12.827882456140351
2024-04-09,8,37,12.191739189189189
2024-04-09,9,97,12.334695017182131
2024-04-09,10,321,12.167613655244029
2024-04-09,11,1208,15.172026296909491
2024-04-09,12,1967,13.768107998644297
2024-04-09,13,993,13.175125377643504
2024-04-09,14,787,14.398834307496822
2024-04-09,15,943,15.393364121597736
2024-04-09,16,1270,14.869433385826772
2024-04-09,17,1213,14.713945891728496
2024-04-09,18,1306,16.44628161051557
2024-04-09,19,1589,16.368068491713867
2024-04-09,20,2479,16.644280395320692
2024-04-09,21,3604,16.19509259618942
2024-04-09,22,2776,16.33753044548511
2024-04-09,23,1901,14.889597115553217
2024-04-10,0,1137,14.299806493696863
2024-04-10,1,987,13.459780800405268
2024-04-10,2,787,13.240954786107583
2024-04-10,3,402,12.08704535655058
2024-04-10,4,211,12.414893206951028
2024-04-10,5,94,11.912275709219857
2024-04-10,6,57,14.174415497076023
2024-04-10,7,38,10.769003070175438
2024-04-10,8,28,12.630289285714285
2024-04-10,9,78,11.972737393162394
2024-04-10,10,347,11.78933688760807
2024-04-10,11,1148,14.401231881533102
2024-04-10,12,1998,13.246874182515848
2024-04-10,13,1021,12.182605272608553
2024-04-10,14,762,13.039400021872265
2024-04-10,15,934,12.676680460385437
2024-04-10,16,1133,12.673106825536923
2024-04-10,17,1064,13.14273518170426
2024-04-10,18,1116,13.352405421146953
2024-04-10,19,1456,14.367134260531135
2024-04-10,20,2143,14.608886763104682
2024-04-10,21,3018,14.4702036503203
2024-04-10,22,2452,14.403805131865145
2024-04-10,23,1743,13.7843993210939
2024-04-11,0,1184,12.46197594313063
2024-04-11,1,958,12.902602209464161
2024-04-11,2,775,13.310806494623657
2024-04-11,3,507,12.542031262327415
2024-04-11,4,300,12.444175833333334
2024-04-11,5,143,12.650168764568765
2024-04-11,6,87,13.531727203065135
2024-04-11,7,53,11.259818867924528
2024-04-11,8,52,14.43350641025641
2024-04-11,9,81,12.444136008230453
2024-04-11,10,378,12.022816887125222
2024-04-11,11,1263,14.307900250725785
2024-04-11,12,2179,13.963781413492429
2024-04-11,13,1131,13.596318685529031
2024-04-11,14,838,12.58765708035004
2024-04-11,15,800,12.124544958333333
2024-04-11,16,580,11.66985356321839
2024-04-11,17,508,11.081588024934383
2024-04-11,18,364,11.649278525641027
2024-04-11,19,482,11.782877524204704
2024-04-11,20,1345,12.830264708798016
2024-04-11,21,2233,13.55234107329452
2024-04-11,22,2098,12.897760613282491
2024-04-11,23,1605,12.915576313603324
2024-04-12,0,1170,12.147073746438744
2024-04-12,1,1022,12.976821836268753
2024-04-12,2,820,12.888728048780488
2024-04-12,3,506,11.332940876152833
2024-04-12,4,147,9.558167006802721
2024-04-12,5,83,12.250240562248996
2024-04-12,6,61,11.661265300546448
2024-04-12,7,48,13.663476736111113
2024-04-12,8,58,12.59746724137931
2024-04-12,9,68,11.401112009803922
2024-04-12,10,245,10.61268292517007
2024-04-12,11,752,12.317445190602838
2024-04-12,12,1372,11.878184147230321
2024-04-12,13,1003,11.4957383183782
2024-04-12,14,849,12.46057728700432
2024-04-12,15,1112,12.763950569544363
2024-04-12,16,1505,13.085496323366558
2024-04-12,17,1515,12.921461837183719
2024-04-12,18,1527,13.709605348177254
2024-04-12,19,1660,11.93063078313253
2024-04-12,20,1091,10.555443018637336
2024-04-12,21,731,10.584576288189695
2024-04-12,22,507,10.920035963182116
2024-04-12,23,536,10.113306281094527
2024-04-13,0,422,10.514252804107427
2024-04-13,1,557,12.154744703770197
2024-04-13,2,562,12.589459667852907
2024-04-13,3,581,12.497262277682157
2024-04-13,4,575,12.897382579710145
2024-04-13,5,512,14.08841787109375
2024-04-13,6,457,14.970340554339899
2024-04-13,7,301,14.198666777408638
2024-04-13,8,89,12.574858988764046
2024-04-13,9,74,9.995424324324324
2024-04-13,10,102,10.472637745098039
2024-04-13,11,241,11.020236168741356
2024-04-13,12,478,12.009515690376569
2024-04-13,13,820,12.37206680894309
2024-04-13,14,933,12.415336227224008
