day_of_week,hour,trip_count,avg_duration_min
Saturday,14,85290,14.100363727087975
Saturday,15,102717,14.882925173372795
Saturday,16,116787,15.296903611560648
Saturday,17,127074,15.644981469589899
Saturday,18,134436,16.089937110223453
Saturday,19,138243,16.08870293420523
Saturday,20,140285,15.677003777191668
Saturday,21,137398,15.499778452015313
Saturday,22,125447,15.180875472244587
Saturday,23,105472,14.992228182835253
Sunday,0,87994,14.716082129652781
Sunday,1,78168,15.112566117422304
Sunday,2,73231,14.806649003381992
Sunday,3,67281,14.128758301501662
Sunday,4,52958,13.451949246572756
Sunday,5,41256,13.828060084189774
Sunday,6,31769,14.773967564292233
Sunday,7,26175,14.839997430117796
Sunday,8,12147,13.68916399659724
Sunday,9,7745,12.814391527867441
Sunday,10,9948,11.260159888084706
Sunday,11,16672,12.142957296665067
Sunday,12,30575,12.954343360588716
Sunday,13,52146,13.836464028560837
Sunday,14,74381,14.463759618943907
Sunday,15,93228,15.292369562792294
Sunday,16,105684,15.478917251744194
Sunday,17,116307,15.9214591351624
Sunday,18,124674,15.98890930800862
Sunday,19,129089,15.751584456847601
Sunday,20,132483,15.12150205774829
Sunday,21,124527,15.16857686325054
Sunday,22,111756,15.100772243995847
Sunday,23,93468,14.835132829417555
